"Date","Video views","Followers","Difference in followers from previous day","Profile views"
"2021-01-15","342","285","1","24"
"2021-01-16","289","284","-1","8"
"2021-01-17","117","284","0","13"
"2021-01-18","169","287","3","7"
"2021-01-19","156","289","2","19"
"2021-01-20","3971","309","20","75"
"2021-01-21","5084","390","81","196"
"2021-01-22","4506","476","86","190"
"2021-01-23","1905","537","61","75"
"2021-01-24","1230","567","30","59"
"2021-01-25","403","582","15","33"
"2021-01-26","872","611","29","87"
"2021-01-27","769874","11008","10397","12892"
"2021-01-28","460713","14717","3709","7261"
"2021-01-29","71474","16001","1284","1159"
"2021-01-30","34961","16093","92","291"
"2021-01-31","22297","16250","157","328"
"2021-02-01","42142","16516","266","653"
"2021-02-02","42398","17053","537","477"
"2021-02-03","41615","17683","630","920"
"2021-02-04","35135","18201","518","842"
"2021-02-05","11693","18305","104","256"
"2021-02-06","13423","18383","78","442"
"2021-02-07","12290","18515","132","277"
"2021-02-08","15543","18640","125","236"
"2021-02-09","34464","19204","564","541"
"2021-02-10","438823","21521","2317","4006"
"2021-02-11","2072973","55940","34419","62041"
"2021-02-12","2620407","87644","31704","58846"
"2021-02-13","2479500","103759","16115","43342"
"2021-02-14","854882","109626","5867","16319"
"2021-02-15","1305247","126946","17320","22953"
"2021-02-16","1416798","161208","34262","26760"
"2021-02-17","1156495","169963","8755","12364"
"2021-02-18","1629988","177106","7143","13665"
"2021-02-19","305604","178515","1409","3722"
"2021-02-20","88915","178852","337","1051"
"2021-02-21","42925","178911","59","636"
"2021-02-22","612200","181491","2580","23951"
"2021-02-23","540600","182795","1304","9182"
"2021-02-24","271210","184456","1661","37506"
"2021-02-25","130381","185358","902","16134"
"2021-02-26","259775","189639","4281","8892"
"2021-02-27","262139","194407","4768","6638"
"2021-02-28","242268","198645","4238","5734"
"2021-03-01","222998","202285","3640","3075"
"2021-03-02","65780","202462","177","726"
"2021-03-03","45294","202547","85","921"
"2021-03-04","80150","203655","1108","1921"
"2021-03-05","219550","209552","5897","5248"
"2021-03-06","73147","209966","414","906"
"2021-03-07","59186","210041","75","463"
"2021-03-08","46753","210086","45","554"
"2021-03-09","38438","210111","25","405"
"2021-03-10","44052","210156","45","340"
"2021-03-11","28968","210156","0","296"
"2021-03-12","27772","210184","28","253"
"2021-03-13","57965","211401","1217","1033"
"2021-03-14","383754","217901","6500","10663"
"2021-03-15","50013","218205","304","917"